Tanggal,Wilayah,Jenis_Perkebunan,Jenis_Proses,Produksi_kg,Harga_per_kg_IDR,Kualitas,Profit,Year,Month,Month_Name,Quarter,Kombinasi
2025-12-10,Sulawesi,Perkebunan Swasta,Roasting,888.09,41341.02,Grade C,36714546.451799996,2025,12,December,4,Sulawesi | Perkebunan Swasta | Roasting
2025-12-26,Bali,Perkebunan Swasta,Pengeringan,998.1,52120.89,Grade B,52021860.309,2025,12,December,4,Bali | Perkebunan Swasta | Pengeringan
2024-05-21,Bali,Perkebunan Rakyat,Pengeringan,1287.02,31456.28,Grade C,40484861.485599995,2024,5,May,2,Bali | Perkebunan Rakyat | Pengeringan
2024-06-26,Jawa Barat,Perkebunan Rakyat,Roasting,471.27,35985.36,Grade C,16958820.6072,2024,6,June,2,Jawa Barat | Perkebunan Rakyat | Roasting
2025-11-17,Bali,Perkebunan Rakyat,Pengeringan,588.73,51618.96,Grade A,30389630.3208,2025,11,November,4,Bali | Perkebunan Rakyat | Pengeringan
2025-11-28,NTT,Perkebunan Rakyat,Pengeringan,257.12,53382.31,Grade C,13725659.5472,2025,11,November,4,NTT | Perkebunan Rakyat | Pengeringan
2024-03-19,Sulawesi,Perkebunan Negara,Penggilingan,294.53,45036.97,Grade A,13264738.7741,2024,3,March,1,Sulawesi | Perkebunan Negara | Penggilingan
2024-10-03,Jawa Timur,Perkebunan Rakyat,Pengeringan,848.67,56917.13,Grade A,48303860.717099994,2024,10,October,4,Jawa Timur | Perkebunan Rakyat | Pengeringan
2024-04-15,Sulawesi,Perkebunan Swasta,Penggilingan,834.85,37535.66,Grade B,31336645.751000002,2024,4,April,2,Sulawesi | Perkebunan Swasta | Penggilingan
2025-06-24,Sulawesi,Perkebunan Rakyat,Roasting,1815.71,36763.63,Grade C,66752090.627299994,2025,6,June,2,Sulawesi | Perkebunan Rakyat | Roasting
2024-06-06,Sumatera,Perkebunan Rakyat,Pengeringan,575.31,34129.81,Grade C,19635220.9911,2024,6,June,2,Sumatera | Perkebunan Rakyat | Pengeringan
2024-08-05,Sumatera,Perkebunan Swasta,Roasting,207.09,55480.53,Grade C,11489462.9577,2024,8,August,3,Sumatera | Perkebunan Swasta | Roasting
2024-10-03,Sulawesi,Perkebunan Swasta,Pengeringan,714.03,36554.5,Grade B,26101009.634999998,2024,10,October,4,Sulawesi | Perkebunan Swasta | Pengeringan
2024-05-21,Jawa Barat,Perkebunan Rakyat,Penggilingan,552.01,58291.37,Grade B,32177419.1537,2024,5,May,2,Jawa Barat | Perkebunan Rakyat | Penggilingan
2024-12-12,Jawa Timur,Perkebunan Rakyat,Roasting,706.27,36740.1,Grade A,25948430.426999997,2024,12,December,4,Jawa Timur | Perkebunan Rakyat | Roasting
2024-08-07,Jawa Barat,Perkebunan Negara,Fermentasi,1275.01,35784.9,Grade C,45626105.349,2024,8,August,3,Jawa Barat | Perkebunan Negara | Fermentasi
2024-08-07,NTT,Perkebunan Swasta,Fermentasi,1471.41,50801.05,Grade C,74749172.98050001,2024,8,August,3,NTT | Perkebunan Swasta | Fermentasi
2024-07-06,Sulawesi,Perkebunan Rakyat,Roasting,1497.23,41188.87,Grade B,61669211.83010001,2024,7,July,3,Sulawesi | Perkebunan Rakyat | Roasting
2026-01-11,Sulawesi,Perkebunan Swasta,Penggilingan,1172.47,38722.59,Grade C,45401075.0973,2026,1,January,1,Sulawesi | Perkebunan Swasta | Penggilingan
2024-10-01,Jawa Barat,Perkebunan Swasta,Fermentasi,667.65,42886.41,Grade A,28633111.6365,2024,10,October,4,Jawa Barat | Perkebunan Swasta | Fermentasi
2024-02-08,Sumatera,Perkebunan Rakyat,Penggilingan,622.12,41543.07,Grade C,25844774.7084,2024,2,February,1,Sumatera | Perkebunan Rakyat | Penggilingan
2025-04-24,Sulawesi,Perkebunan Swasta,Penggilingan,545.64,55358.1,Grade B,30205593.683999997,2025,4,April,2,Sulawesi | Perkebunan Swasta | Penggilingan
2025-09-18,Sumatera,Perkebunan Rakyat,Roasting,1140.11,41685.66,Grade C,47526237.8226,2025,9,September,3,Sumatera | Perkebunan Rakyat | Roasting
2024-10-31,Jawa Timur,Perkebunan Swasta,Fermentasi,1300.09,42756.3,Grade C,55587038.067,2024,10,October,4,Jawa Timur | Perkebunan Swasta | Fermentasi
2024-08-09,NTT,Perkebunan Rakyat,Penggilingan,1008.36,53406.36,Grade C,53852837.1696,2024,8,August,3,NTT | Perkebunan Rakyat | Penggilingan
2024-02-23,Jawa Barat,Perkebunan Swasta,Pengeringan,1326.59,35284.39,Grade C,46807918.930099994,2024,2,February,1,Jawa Barat | Perkebunan Swasta | Pengeringan
2026-02-10,Sumatera,Perkebunan Negara,Roasting,1888.6,56541.04,Grade C,106783408.144,2026,2,February,1,Sumatera | Perkebunan Negara | Roasting
2024-02-22,Jawa Barat,Perkebunan Swasta,Penggilingan,740.34,32885.27,Grade C,24346280.7918,2024,2,February,1,Jawa Barat | Perkebunan Swasta | Penggilingan
2024-10-01,Sulawesi,Perkebunan Negara,Fermentasi,994.54,28096.84,Grade A,27943431.253599998,2024,10,October,4,Sulawesi | Perkebunan Negara | Fermentasi
2026-01-12,Jawa Timur,Perkebunan Rakyat,Roasting,266.59,42355.34,Grade C,11291510.090599999,2026,1,January,1,Jawa Timur | Perkebunan Rakyat | Roasting
2024-12-09,Sumatera,Perkebunan Rakyat,Fermentasi,1536.44,57893.73,Grade A,88950242.5212,2024,12,December,4,Sumatera | Perkebunan Rakyat | Fermentasi
2024-05-10,NTT,Perkebunan Negara,Fermentasi,645.93,55166.43,Grade C,35633652.1299,2024,5,May,2,NTT | Perkebunan Negara | Fermentasi
2025-03-31,Jawa Barat,Perkebunan Negara,Pengeringan,292.22,52042.09,Grade C,15207739.539800001,2025,3,March,1,Jawa Barat | Perkebunan Negara | Pengeringan
2024-09-24,NTT,Perkebunan Rakyat,Pengeringan,230.54,39894.88,Grade C,9197365.6352,2024,9,September,3,NTT | Perkebunan Rakyat | Pengeringan
2026-02-20,Sulawesi,Perkebunan Rakyat,Penggilingan,1880.62,36150.08,Grade C,67984563.4496,2026,2,February,1,Sulawesi | Perkebunan Rakyat | Penggilingan
2025-06-10,Jawa Barat,Perkebunan Negara,Roasting,1039.26,36758.7,Grade B,38201846.562,2025,6,June,2,Jawa Barat | Perkebunan Negara | Roasting
2024-05-31,NTT,Perkebunan Rakyat,Penggilingan,1378.12,54554.22,Grade B,75182261.6664,2024,5,May,2,NTT | Perkebunan Rakyat | Penggilingan
2025-01-10,NTT,Perkebunan Swasta,Roasting,269.93,28987.93,Grade B,7824711.9449000005,2025,1,January,1,NTT | Perkebunan Swasta | Roasting
2025-11-21,Bali,Perkebunan Rakyat,Pengeringan,405.21,47971.54,Grade C,19438547.7234,2025,11,November,4,Bali | Perkebunan Rakyat | Pengeringan
2025-08-31,Jawa Timur,Perkebunan Rakyat,Penggilingan,1732.49,48160.25,Grade B,83437151.5225,2025,8,August,3,Jawa Timur | Perkebunan Rakyat | Penggilingan
2025-08-31,Jawa Timur,Perkebunan Negara,Roasting,827.23,42280.95,Grade A,34976070.2685,2025,8,August,3,Jawa Timur | Perkebunan Negara | Roasting
2026-02-12,Sulawesi,Perkebunan Swasta,Penggilingan,1933.59,45662.6,Grade B,88292746.734,2026,2,February,1,Sulawesi | Perkebunan Swasta | Penggilingan
2024-06-29,Sumatera,Perkebunan Rakyat,Pengeringan,860.82,56203.65,Grade A,48381225.993,2024,6,June,2,Sumatera | Perkebunan Rakyat | Pengeringan
2024-02-01,Sulawesi,Perkebunan Rakyat,Fermentasi,504.29,59273.5,Grade C,29891033.315,2024,2,February,1,Sulawesi | Perkebunan Rakyat | Fermentasi
2025-02-13,Jawa Timur,Perkebunan Swasta,Roasting,1061.47,42556.07,Grade C,45171991.6229,2025,2,February,1,Jawa Timur | Perkebunan Swasta | Roasting
2025-08-02,Bali,Perkebunan Negara,Roasting,1083.98,48168.0,Grade C,52213148.64,2025,8,August,3,Bali | Perkebunan Negara | Roasting
2024-12-04,Sumatera,Perkebunan Negara,Penggilingan,1181.49,54267.62,Grade A,64116650.353800006,2024,12,December,4,Sumatera | Perkebunan Negara | Penggilingan
2024-06-22,NTT,Perkebunan Rakyat,Roasting,1528.09,54741.32,Grade A,83649663.6788,2024,6,June,2,NTT | Perkebunan Rakyat | Roasting
2024-10-25,Sumatera,Perkebunan Negara,Roasting,1189.01,51807.94,Grade A,61600158.7394,2024,10,October,4,Sumatera | Perkebunan Negara | Roasting
2024-01-10,Jawa Timur,Perkebunan Rakyat,Fermentasi,887.81,44477.0,Grade A,39487125.37,2024,1,January,1,Jawa Timur | Perkebunan Rakyat | Fermentasi
2024-05-18,Jawa Timur,Perkebunan Swasta,Penggilingan,1093.3,40667.64,Grade A,44461930.812,2024,5,May,2,Jawa Timur | Perkebunan Swasta | Penggilingan
2026-02-24,Sumatera,Perkebunan Negara,Penggilingan,1585.62,45088.14,Grade B,71492656.54679999,2026,2,February,1,Sumatera | Perkebunan Negara | Penggilingan
2024-06-25,Jawa Timur,Perkebunan Swasta,Fermentasi,713.91,43128.66,Grade B,30789981.660600003,2024,6,June,2,Jawa Timur | Perkebunan Swasta | Fermentasi
2025-09-23,Sulawesi,Perkebunan Swasta,Pengeringan,1070.85,46676.9,Grade A,49983958.364999995,2025,9,September,3,Sulawesi | Perkebunan Swasta | Pengeringan
2024-10-02,NTT,Perkebunan Rakyat,Fermentasi,837.37,54283.97,Grade B,45455767.958900005,2024,10,October,4,NTT | Perkebunan Rakyat | Fermentasi
2025-04-22,Sumatera,Perkebunan Negara,Penggilingan,1437.26,25058.2,Grade C,36015148.532,2025,4,April,2,Sumatera | Perkebunan Negara | Penggilingan
2024-01-23,Sulawesi,Perkebunan Swasta,Penggilingan,942.31,46495.79,Grade A,43813447.8749,2024,1,January,1,Sulawesi | Perkebunan Swasta | Penggilingan
2025-07-27,NTT,Perkebunan Negara,Pengeringan,1155.18,45953.67,Grade A,53084760.5106,2025,7,July,3,NTT | Perkebunan Negara | Pengeringan
2025-10-16,Sulawesi,Perkebunan Negara,Penggilingan,1853.22,57200.23,Grade A,106004610.2406,2025,10,October,4,Sulawesi | Perkebunan Negara | Penggilingan
2025-07-26,Jawa Barat,Perkebunan Swasta,Roasting,594.5,53821.99,Grade B,31997173.055,2025,7,July,3,Jawa Barat | Perkebunan Swasta | Roasting
2025-02-17,Jawa Timur,Perkebunan Negara,Pengeringan,1572.91,48482.92,Grade A,76259269.6972,2025,2,February,1,Jawa Timur | Perkebunan Negara | Pengeringan
2025-10-08,NTT,Perkebunan Rakyat,Roasting,777.56,35417.19,Grade C,27538990.2564,2025,10,October,4,NTT | Perkebunan Rakyat | Roasting
2025-10-16,Sulawesi,Perkebunan Negara,Pengeringan,553.61,51806.23,Grade C,28680446.990300003,2025,10,October,4,Sulawesi | Perkebunan Negara | Pengeringan
2025-10-15,Jawa Timur,Perkebunan Negara,Penggilingan,1414.03,48252.17,Grade B,68230015.9451,2025,10,October,4,Jawa Timur | Perkebunan Negara | Penggilingan
2024-12-13,Sulawesi,Perkebunan Negara,Roasting,1204.08,40598.81,Grade A,48884215.14479999,2024,12,December,4,Sulawesi | Perkebunan Negara | Roasting
2025-07-27,Sumatera,Perkebunan Rakyat,Fermentasi,1555.63,39123.31,Grade C,60861394.7353,2025,7,July,3,Sumatera | Perkebunan Rakyat | Fermentasi
2024-03-31,NTT,Perkebunan Negara,Penggilingan,489.74,25381.62,Grade A,12430394.5788,2024,3,March,1,NTT | Perkebunan Negara | Penggilingan
2024-09-10,Jawa Timur,Perkebunan Negara,Penggilingan,614.77,44366.58,Grade A,27275242.3866,2024,9,September,3,Jawa Timur | Perkebunan Negara | Penggilingan
2024-03-06,Sumatera,Perkebunan Negara,Fermentasi,643.84,46125.66,Grade C,29697544.934400003,2024,3,March,1,Sumatera | Perkebunan Negara | Fermentasi
2024-04-26,Sulawesi,Perkebunan Rakyat,Roasting,654.36,30504.29,Grade A,19960787.2044,2024,4,April,2,Sulawesi | Perkebunan Rakyat | Roasting
2026-02-10,Jawa Timur,Perkebunan Swasta,Roasting,883.93,49055.42,Grade A,43361557.400599994,2026,2,February,1,Jawa Timur | Perkebunan Swasta | Roasting
2025-11-11,Jawa Timur,Perkebunan Rakyat,Pengeringan,209.48,58259.22,Grade A,12204141.4056,2025,11,November,4,Jawa Timur | Perkebunan Rakyat | Pengeringan
2024-09-07,Jawa Barat,Perkebunan Swasta,Pengeringan,1518.2,27454.13,Grade B,41680860.166,2024,9,September,3,Jawa Barat | Perkebunan Swasta | Pengeringan
2025-04-17,Jawa Barat,Perkebunan Negara,Fermentasi,426.61,57980.83,Grade B,24735201.8863,2025,4,April,2,Jawa Barat | Perkebunan Negara | Fermentasi
2026-01-25,Sumatera,Perkebunan Rakyat,Pengeringan,1568.74,54270.96,Grade A,85137025.7904,2026,1,January,1,Sumatera | Perkebunan Rakyat | Pengeringan
2024-04-10,Sulawesi,Perkebunan Negara,Fermentasi,1980.9,51182.01,Grade B,101386443.60900001,2024,4,April,2,Sulawesi | Perkebunan Negara | Fermentasi
2026-01-12,Sulawesi,Perkebunan Negara,Penggilingan,614.82,46472.2,Grade A,28572038.004,2026,1,January,1,Sulawesi | Perkebunan Negara | Penggilingan
2024-07-24,NTT,Perkebunan Swasta,Pengeringan,1545.4,43179.04,Grade C,66728888.41600001,2024,7,July,3,NTT | Perkebunan Swasta | Pengeringan
2024-05-21,Sulawesi,Perkebunan Negara,Pengeringan,213.3,28646.08,Grade C,6110208.864000001,2024,5,May,2,Sulawesi | Perkebunan Negara | Pengeringan
2024-08-27,Sulawesi,Perkebunan Rakyat,Roasting,690.62,29398.85,Grade B,20303433.787,2024,8,August,3,Sulawesi | Perkebunan Rakyat | Roasting
2025-07-04,Sulawesi,Perkebunan Rakyat,Pengeringan,1030.4,36213.72,Grade A,37314617.08800001,2025,7,July,3,Sulawesi | Perkebunan Rakyat | Pengeringan
2024-07-03,Jawa Barat,Perkebunan Swasta,Fermentasi,1009.81,32429.21,Grade B,32747340.5501,2024,7,July,3,Jawa Barat | Perkebunan Swasta | Fermentasi
2024-05-13,Jawa Timur,Perkebunan Negara,Fermentasi,353.85,49481.38,Grade B,17508986.313,2024,5,May,2,Jawa Timur | Perkebunan Negara | Fermentasi
2025-07-19,NTT,Perkebunan Rakyat,Penggilingan,658.66,46799.74,Grade C,30825116.7484,2025,7,July,3,NTT | Perkebunan Rakyat | Penggilingan
2025-11-07,Sumatera,Perkebunan Swasta,Fermentasi,1019.1,55557.97,Grade A,56619127.227000006,2025,11,November,4,Sumatera | Perkebunan Swasta | Fermentasi
2026-02-09,Sumatera,Perkebunan Rakyat,Pengeringan,867.48,33788.28,Grade C,29310657.1344,2026,2,February,1,Sumatera | Perkebunan Rakyat | Pengeringan
2025-01-11,Sumatera,Perkebunan Swasta,Fermentasi,1494.96,41757.93,Grade B,62426435.032800004,2025,1,January,1,Sumatera | Perkebunan Swasta | Fermentasi
2025-01-17,Sumatera,Perkebunan Rakyat,Penggilingan,1048.16,51493.37,Grade A,53973290.699200004,2025,1,January,1,Sumatera | Perkebunan Rakyat | Penggilingan
2024-07-08,NTT,Perkebunan Swasta,Pengeringan,1800.96,34563.68,Grade B,62247805.132800005,2024,7,July,3,NTT | Perkebunan Swasta | Pengeringan
2025-07-07,Bali,Perkebunan Swasta,Fermentasi,358.99,30522.99,Grade B,10957448.180100001,2025,7,July,3,Bali | Perkebunan Swasta | Fermentasi
2025-07-24,Sumatera,Perkebunan Swasta,Pengeringan,1639.72,25108.72,Grade A,41171270.3584,2025,7,July,3,Sumatera | Perkebunan Swasta | Pengeringan
2024-05-23,Sumatera,Perkebunan Swasta,Roasting,1199.03,28807.61,Grade B,34541188.6183,2024,5,May,2,Sumatera | Perkebunan Swasta | Roasting
2026-02-03,Sumatera,Perkebunan Rakyat,Fermentasi,330.66,40061.19,Grade B,13246633.085400002,2026,2,February,1,Sumatera | Perkebunan Rakyat | Fermentasi
2024-09-16,Bali,Perkebunan Rakyat,Pengeringan,641.93,29778.56,Grade C,19115751.0208,2024,9,September,3,Bali | Perkebunan Rakyat | Pengeringan
2024-05-14,Jawa Timur,Perkebunan Rakyat,Fermentasi,1891.41,55335.87,Grade B,104662817.87670001,2024,5,May,2,Jawa Timur | Perkebunan Rakyat | Fermentasi
2024-08-14,Jawa Timur,Perkebunan Negara,Fermentasi,1681.34,34245.99,Grade A,57579152.82659999,2024,8,August,3,Jawa Timur | Perkebunan Negara | Fermentasi
2024-02-03,Bali,Perkebunan Swasta,Pengeringan,686.62,41565.05,Grade B,28539394.631,2024,2,February,1,Bali | Perkebunan Swasta | Pengeringan
2025-03-16,NTT,Perkebunan Rakyat,Roasting,968.79,59845.97,Grade B,57978177.2763,2025,3,March,1,NTT | Perkebunan Rakyat | Roasting
2025-06-21,Sulawesi,Perkebunan Swasta,Fermentasi,1097.1,52212.63,Grade C,57282476.372999996,2025,6,June,2,Sulawesi | Perkebunan Swasta | Fermentasi
2025-07-01,NTT,Perkebunan Rakyat,Penggilingan,496.45,51874.29,Grade B,25752991.2705,2025,7,July,3,NTT | Perkebunan Rakyat | Penggilingan
2026-01-11,Jawa Barat,Perkebunan Rakyat,Pengeringan,995.36,48492.2,Grade A,48267196.191999994,2026,1,January,1,Jawa Barat | Perkebunan Rakyat | Pengeringan
2025-05-25,NTT,Perkebunan Rakyat,Fermentasi,1418.13,52907.8,Grade C,75030138.414,2025,5,May,2,NTT | Perkebunan Rakyat | Fermentasi
2024-05-17,Jawa Barat,Perkebunan Swasta,Penggilingan,377.55,48058.05,Grade A,18144316.7775,2024,5,May,2,Jawa Barat | Perkebunan Swasta | Penggilingan
2025-09-13,Jawa Timur,Perkebunan Negara,Fermentasi,1489.37,28170.77,Grade B,41956699.714899994,2025,9,September,3,Jawa Timur | Perkebunan Negara | Fermentasi
2026-02-08,Sulawesi,Perkebunan Swasta,Fermentasi,385.88,59478.28,Grade C,22951478.6864,2026,2,February,1,Sulawesi | Perkebunan Swasta | Fermentasi
2025-11-05,Sumatera,Perkebunan Swasta,Fermentasi,884.45,56549.64,Grade C,50015329.098000005,2025,11,November,4,Sumatera | Perkebunan Swasta | Fermentasi
2025-11-18,Jawa Timur,Perkebunan Swasta,Roasting,1996.42,53282.74,Grade B,106374727.7908,2025,11,November,4,Jawa Timur | Perkebunan Swasta | Roasting
2024-08-08,Jawa Barat,Perkebunan Swasta,Roasting,646.16,51214.66,Grade A,33092864.7056,2024,8,August,3,Jawa Barat | Perkebunan Swasta | Roasting
2024-01-07,Jawa Barat,Perkebunan Swasta,Roasting,1129.2,40194.35,Grade A,45387460.02,2024,1,January,1,Jawa Barat | Perkebunan Swasta | Roasting
2025-11-19,Sumatera,Perkebunan Rakyat,Roasting,856.28,45986.37,Grade A,39377208.9036,2025,11,November,4,Sumatera | Perkebunan Rakyat | Roasting
2024-01-14,NTT,Perkebunan Rakyat,Roasting,255.5,41150.2,Grade B,10513876.1,2024,1,January,1,NTT | Perkebunan Rakyat | Roasting
2024-02-19,Bali,Perkebunan Negara,Roasting,1170.48,34345.14,Grade C,40200299.4672,2024,2,February,1,Bali | Perkebunan Negara | Roasting
2024-03-07,Jawa Timur,Perkebunan Swasta,Roasting,436.28,34579.96,Grade A,15086544.9488,2024,3,March,1,Jawa Timur | Perkebunan Swasta | Roasting
2024-05-27,Sulawesi,Perkebunan Swasta,Roasting,812.77,26741.93,Grade B,21735038.4461,2024,5,May,2,Sulawesi | Perkebunan Swasta | Roasting
2024-04-10,Jawa Barat,Perkebunan Swasta,Roasting,1744.94,25824.25,Grade B,45061766.795,2024,4,April,2,Jawa Barat | Perkebunan Swasta | Roasting
2024-09-11,Sumatera,Perkebunan Swasta,Fermentasi,1341.51,59074.97,Grade A,79249663.0047,2024,9,September,3,Sumatera | Perkebunan Swasta | Fermentasi
2024-10-26,Sumatera,Perkebunan Rakyat,Penggilingan,1681.05,25275.66,Grade B,42489648.243,2024,10,October,4,Sumatera | Perkebunan Rakyat | Penggilingan
2025-05-14,Jawa Barat,Perkebunan Rakyat,Roasting,1807.34,49297.93,Grade C,89098120.8062,2025,5,May,2,Jawa Barat | Perkebunan Rakyat | Roasting
2024-01-31,NTT,Perkebunan Rakyat,Roasting,1185.0,48109.97,Grade B,57010314.45,2024,1,January,1,NTT | Perkebunan Rakyat | Roasting
2024-02-20,Jawa Timur,Perkebunan Swasta,Roasting,1524.03,55854.55,Grade B,85124009.8365,2024,2,February,1,Jawa Timur | Perkebunan Swasta | Roasting
2024-09-06,Jawa Barat,Perkebunan Rakyat,Penggilingan,1102.78,49388.44,Grade C,54464583.8632,2024,9,September,3,Jawa Barat | Perkebunan Rakyat | Penggilingan
2024-04-12,NTT,Perkebunan Rakyat,Pengeringan,1549.84,53234.72,Grade C,82505298.4448,2024,4,April,2,NTT | Perkebunan Rakyat | Pengeringan
2025-09-06,NTT,Perkebunan Swasta,Penggilingan,349.1,25341.29,Grade C,8846644.339000002,2025,9,September,3,NTT | Perkebunan Swasta | Penggilingan
2025-05-17,NTT,Perkebunan Negara,Pengeringan,503.55,46118.1,Grade B,23222769.255,2025,5,May,2,NTT | Perkebunan Negara | Pengeringan
2025-02-17,Bali,Perkebunan Rakyat,Penggilingan,1042.24,39479.24,Grade B,41146843.0976,2025,2,February,1,Bali | Perkebunan Rakyat | Penggilingan
2025-01-01,Sulawesi,Perkebunan Rakyat,Pengeringan,1312.77,26260.24,Grade A,34473655.264800005,2025,1,January,1,Sulawesi | Perkebunan Rakyat | Pengeringan
2025-04-06,Sumatera,Perkebunan Negara,Roasting,792.4,29858.29,Grade C,23659708.996,2025,4,April,2,Sumatera | Perkebunan Negara | Roasting
2024-02-25,Bali,Perkebunan Rakyat,Roasting,271.41,55874.76,Grade A,15164968.611600002,2024,2,February,1,Bali | Perkebunan Rakyat | Roasting
2024-03-10,Jawa Timur,Perkebunan Swasta,Roasting,1114.33,38248.29,Grade A,42621216.9957,2024,3,March,1,Jawa Timur | Perkebunan Swasta | Roasting
2025-04-06,Bali,Perkebunan Swasta,Fermentasi,1846.26,59155.05,Grade A,109215602.613,2025,4,April,2,Bali | Perkebunan Swasta | Fermentasi
2024-05-09,Sumatera,Perkebunan Rakyat,Pengeringan,345.11,36798.33,Grade C,12699471.6663,2024,5,May,2,Sumatera | Perkebunan Rakyat | Pengeringan
2025-07-23,NTT,Perkebunan Swasta,Penggilingan,1970.95,33519.31,Grade A,66064884.04449999,2025,7,July,3,NTT | Perkebunan Swasta | Penggilingan
2024-01-02,Sulawesi,Perkebunan Negara,Roasting,1539.3,43109.54,Grade A,66358514.922,2024,1,January,1,Sulawesi | Perkebunan Negara | Roasting
2025-03-18,NTT,Perkebunan Rakyat,Penggilingan,419.25,36934.05,Grade A,15484600.4625,2025,3,March,1,NTT | Perkebunan Rakyat | Penggilingan
2025-05-16,Bali,Perkebunan Swasta,Penggilingan,473.8,31393.74,Grade B,14874354.012000002,2025,5,May,2,Bali | Perkebunan Swasta | Penggilingan
2025-06-27,Sumatera,Perkebunan Rakyat,Penggilingan,745.69,37635.85,Grade B,28064676.986500002,2025,6,June,2,Sumatera | Perkebunan Rakyat | Penggilingan
2024-09-23,NTT,Perkebunan Negara,Roasting,502.19,44613.32,Grade C,22404363.1708,2024,9,September,3,NTT | Perkebunan Negara | Roasting
2024-12-29,Sumatera,Perkebunan Rakyat,Fermentasi,256.5,58326.35,Grade B,14960708.775,2024,12,December,4,Sumatera | Perkebunan Rakyat | Fermentasi
2024-08-11,Sulawesi,Perkebunan Rakyat,Penggilingan,1638.52,32747.65,Grade A,53657679.478,2024,8,August,3,Sulawesi | Perkebunan Rakyat | Penggilingan
2024-01-31,NTT,Perkebunan Rakyat,Pengeringan,508.11,52497.2,Grade B,26674352.292,2024,1,January,1,NTT | Perkebunan Rakyat | Pengeringan
2024-12-27,Jawa Timur,Perkebunan Negara,Fermentasi,1366.15,33484.34,Grade B,45744631.091,2024,12,December,4,Jawa Timur | Perkebunan Negara | Fermentasi
